OBJECTID,Type,Mgt_Area,Comments,Shape_Leng
1183,Single Track,Woody Hill Management Area,None,690.739838369
1184,Single Track,Woody Hill Management Area,None,805.013003802
1185,Single Track,Woody Hill Management Area,None,979.967755326
1186,Single Track,Woody Hill Management Area,None,451.065555027
1187,Single Track,Wickaboxet Management Area,None,595.319192675
1188,Single Track,Wickaboxet Management Area,None,576.167512171
1189,Single Track,Woody Hill Management Area,None,3467.91526583
1190,Single Track,Arcadia Management Area,Fair,1392.33696025
1191,Single Track,Beavertail,COOP,1048.26487016
1192,Single Track,Beavertail,COOP,219.395167835
1193,Single Track,Beavertail,COOP,1058.02692326
1194,Single Track,Beavertail,COOP,473.325892203
1195,Single Track,Beavertail,COOP,293.073891808
1196,Single Track,Beavertail,COOP,1792.02671922
1197,Single Track,Beavertail,COOP,424.847338999
1198,Single Track,Beavertail,COOP,814.606154735
1199,Single Track,Beavertail,COOP,1392.92831405
1200,Single Track,Beavertail,COOP,323.48642149
1201,Single Track,Beavertail,COOP,898.513221512
1202,Single Track,Big River Management Area,None,544.801553479
1203,Single Track,Big River Management Area,None,160.676124918
1204,Double Track,Arcadia Management Area,None,1365.31779041
1205,Double Track,Arcadia Management Area,None,1127.01119336
1206,Double Track,Arcadia Management Area,NO NAME,1299.11033352
1207,Single Track,Arcadia Management Area,None,792.40667931
1208,Single Track,Arcadia Management Area,None,4843.44101235
1,Single Track,Arcadia Management Area,universal access,1486.33100909
2,Single Track,Carolina Management Area,None,3615.34794978
3,Gravel Road,Carolina Management Area,None,6081.07122668
4,Double Track,Carolina Management Area,None,700.632097259
5,Double Track,Carolina Management Area,None,1594.78850602
6,Double Track,Carolina Management Area,None,2572.83677213
7,Double Track,Carolina Management Area,None,1576.89788494
8,Double Track,Carolina Management Area,None,1860.09188955
9,Double Track,Carolina Management Area,None,2237.90969493
10,Double Track,Carolina Management Area,None,4406.1743107
11,Double Track,Carolina Management Area,None,3244.08857232
12,Single Track,Carolina Management Area,None,113.777651349
13,Double Track,Carolina Management Area,None,2232.89226585
14,Single Track,Carolina Management Area,NORTH SOUTH TRAIL,3772.13383903
15,Double Track,Carolina Management Area,NORTH SOUTH TRAIL,3720.58755956
16,Single Track,Carolina Management Area,None,731.483775734
17,Single Track,Carolina Management Area,None,917.873195643
18,Double Track,Carolina Management Area,None,290.632276102
19,Double Track,Woody Hill Management Area,None,2481.60143155
20,Double Track,Woody Hill Management Area,None,233.422168487
